p1_hand_category;p1_hand_rank;p1_hand_value;p2_hand_category;p2_hand_rank;p2_hand_value;p1_action_0;p1_raise_0;p2_action_0;p2_raise_0;p1_action_1;p1_raise_1;p2_action_1;p2_raise_1;p1_action_2;p1_raise_2;p2_action_2;p2_raise_2;p1_action_3;p1_raise_3;p2_action_3;p2_raise_3;p1_money_left;p2_money_left;p1_spent_per_hand_value;p2_spent_per_hand_value;p1_final_action;p2_final_action
7;2;472;1;4;239;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.048728813559322;0.03347280334728;2;0
1;12;386;2;12;492;2;5;2;10;2;282;2;94;1;94;-1;-1;-1;-1;-1;-1;20;298;0.984455958549223;0.207317073170732;1;2
2;13;42;3;6;140;2;5;2;10;2;23;1;23;-1;-1;-1;-1;-1;-1;-1;-1;374;369;0.619047619047619;0.221428571428571;2;1
2;10;50;7;9;396;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.46;0.070707070707071;2;1
2;14;175;5;8;259;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.131428571428571;0.108108108108108;2;1
1;3;482;1;4;158;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.047717842323652;0.050632911392405;2;0
3;12;272;2;14;139;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.084558823529412;0.201438848920863;2;1
2;12;122;3;11;216;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.188524590163934;0.12962962962963;2;1
1;12;206;8;3;350;2;5;2;10;2;61;1;61;-1;-1;-1;-1;-1;-1;-1;-1;336;331;0.310679611650485;0.197142857142857;2;1
1;2;250;5;6;389;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.092;0.071979434447301;2;1
2;14;58;4;8;274;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.396551724137931;0.102189781021898;2;1
8;13;480;1;10;116;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.047916666666667;0.068965517241379;2;0
4;8;470;1;9;192;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.048936170212766;0.041666666666667;2;0
0;10;120;6;11;332;2;5;2;10;2;32;1;32;-1;-1;-1;-1;-1;-1;-1;-1;365;360;0.291666666666667;0.120481927710843;2;1
0;14;354;1;11;402;2;5;2;11;2;22;1;22;-1;-1;-1;-1;-1;-1;-1;-1;375;369;0.070621468926554;0.077114427860697;2;1
2;12;240;6;3;376;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.095833333333333;0.074468085106383;2;1
5;5;315;1;9;163;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.073015873015873;0.049079754601227;2;0
1;9;257;1;2;180;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.089494163424125;0.044444444444445;2;0
2;11;105;5;9;385;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.219047619047619;0.072727272727273;2;1
0;3;61;1;4;173;2;5;2;10;2;7;2;14;0;0;-1;-1;-1;-1;-1;-1;389;378;0.180327868852459;0.127167630057803;0;2
4;2;257;1;4;167;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.089494163424125;0.047904191616767;2;0
2;14;46;6;14;336;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.5;0.083333333333333;2;1
5;3;477;2;14;149;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.134171907756813;0.322147651006711;1;2
2;11;121;2;12;275;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.190082644628099;0.101818181818182;2;1
1;6;255;7;5;492;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.094117647058824;0.097560975609756;0;2
2;11;81;4;10;431;2;5;2;10;2;20;2;40;2;10;2;20;2;25;1;25;340;305;0.740740740740741;0.220417633410673;2;1
1;8;411;1;9;191;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.055961070559611;0.041884816753927;2;0
2;11;192;5;9;328;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.119791666666667;0.085365853658537;2;1
2;10;193;3;5;441;2;5;2;10;2;20;2;40;2;122;1;122;-1;-1;-1;-1;254;229;0.756476683937824;0.387755102040816;2;1
2;13;200;5;12;316;2;5;2;10;2;20;1;20;-1;-1;-1;-1;-1;-1;-1;-1;377;372;0.115;0.088607594936709;2;1
2;11;76;0;12;119;2;5;2;10;2;19;0;0;-1;-1;-1;-1;-1;-1;-1;-1;378;392;0.289473684210526;0.067226890756303;2;0
0;2;156;3;2;232;2;5;2;10;2;5;2;10;1;10;-1;-1;-1;-1;-1;-1;381;382;0.121794871794872;0.077586206896552;1;2
4;14;491;2;13;297;2;5;2;10;2;20;2;40;1;40;-1;-1;-1;-1;-1;-1;336;352;0.130346232179226;0.161616161616162;1;2
0;13;297;8;11;459;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.080808080808081;0.104575163398693;0;2
2;13;347;2;10;445;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.06628242074928;0.017977528089888;2;0
1;5;495;2;12;386;2;5;2;10;2;20;2;40;0;0;-1;-1;-1;-1;-1;-1;376;352;0.048484848484849;0.124352331606218;0;2
6;8;425;2;13;165;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.054117647058824;0.048484848484849;2;0
8;8;301;2;13;158;2;5;2;10;2;20;0;0;-1;-1;-1;-1;-1;-1;-1;-1;377;392;0.07641196013289;0.050632911392405;2;0
0;6;36;3;3;219;2;5;2;10;2;7;2;14;2;1;2;2;1;2;-1;-1;385;375;0.416666666666667;0.114155251141553;1;2
2;12;201;5;3;434;2;5;2;10;2;20;2;40;3;176;-1;-1;-1;-1;-1;-1;200;352;0.99502487562189;0.110599078341014;3;2
